SQLDATEE,Count,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone
20150301,823,1.12101587,7.329083567,1.029881965,7.217723656,-1.533845705
20150302,911,0.475674793,7.552058622,1.031115427,7.457877926,-1.959614429
20150303,856,0.646092185,7.748389545,1.035002225,7.638370631,-2.197705426
20150304,1020,0.325688617,7.503114651,1.066405229,7.38909419,-2.913361989
20150305,976,0.205828486,7.46044765,1.035333724,7.315759995,-2.615307704
20150306,873,0.20404714,7.248787732,1.04321624,7.146469642,-2.62205902
20150307,600,0.607885063,7.491618009,1.01625,7.366548565,-1.818612656
20150308,621,0.850492103,7.258497615,1.013106101,7.167501018,-1.395165572
20150309,850,0.788374845,7.397998627,1.026607843,7.289221783,-1.846723597
20150310,1190,0.076628507,7.356217909,1.077030812,7.299157538,-2.477816594
20150311,1074,0.573997828,7.582070417,1.042573379,7.466364407,-1.809379602
20150312,960,0.675377383,7.260584183,1.032891414,7.150238875,-1.793838689
20150313,1087,0.591925686,7.612380792,1.057246801,7.521159139,-1.955080431
20150314,718,0.898262278,7.684898438,1.032033426,7.626037017,-1.659912993
20150315,623,0.425179317,7.13105719,1.004012841,7.049275489,-1.402145305
20150316,773,0.942906402,7.550881625,1.014302142,7.421615213,-1.289007366
20150317,923,0.965973286,7.880458537,1.054352924,7.746183657,-1.32094484
20150318,891,0.439907775,7.618982797,1.025856859,7.536603448,-2.036087297
20150319,956,0.452542175,7.705993259,1.031496978,7.578508949,-1.818159986
20150320,923,0.915864907,7.662264744,1.031842805,7.575213298,-1.760540657
20150321,651,0.823686722,7.781307319,1.040706605,7.648226344,-1.74135524
20150322,657,0.54384572,8.329804651,1.03508009,8.18637492,-1.901056848
20150323,811,1.009183419,7.696813695,1.05134265,7.562774785,-1.891020619
20150324,970,0.691752459,7.226212771,1.051795533,7.155782084,-2.271523554
20150325,1124,0.668865854,7.256443411,1.052237294,7.16751604,-2.094425639
20150326,1025,0.921667725,7.193392703,1.031821138,7.096665835,-2.074268417
20150327,944,0.823801653,7.159943741,1.02108154,7.053876371,-2.171612293
20150328,640,1.205136383,7.761168845,1.023958333,7.612704373,-1.428753858
20150329,527,0.9816812,7.541353649,1.005882353,7.41339666,-1.54797871
20150330,816,0.637249589,7.588777752,1.042320261,7.499025184,-1.582135477
20150331,973,0.516194745,7.908207907,1.039225762,7.788120303,-1.755327914
20150401,899,0.678966009,7.713943619,1.029013719,7.576737376,-1.328874416
20150402,903,0.482428072,7.529455173,1.018770764,7.396285756,-1.388095854
20150403,627,0.485023545,7.114425747,1.024986709,7.061876329,-1.649917569
20150404,548,0.457555791,7.200137364,1.028132603,7.126536391,-1.431175174
20150405,541,0.756235681,7.515443002,1.033579791,7.450316693,-1.33686884
20150406,726,0.623021377,7.52169774,1.032690542,7.414535206,-1.604229644
20150407,836,0.95753126,7.304583186,1.039543461,7.216052092,-1.401724997
20150408,885,0.977379974,7.451198004,1.030021523,7.332349592,-1.250854585
20150409,1116,0.457080783,7.319374399,1.038703608,7.220163007,-1.450949833
20150410,996,0.422747729,7.276916765,1.034075986,7.150788987,-1.775545179
20150411,768,0.497014751,7.188481457,1.011010355,7.115301273,-1.934311608
20150412,708,0.178899788,6.317724529,1.080392912,6.251621153,-2.024281384
20150413,799,0.52078646,7.099997404,1.016442027,7.019891319,-1.39905852
20150414,822,0.953068104,7.372034541,1.017335766,7.291201883,-1.344090985
20150415,899,0.60995148,7.730751367,1.028550241,7.592425014,-1.702379642
20150416,879,0.947276315,7.394260262,1.040551131,7.24865619,-1.49058597
20150417,871,0.842555939,7.556325531,1.02671607,7.417816235,-1.347713093
20150418,596,0.816848862,7.709184511,1.022986577,7.600838033,-1.346492499
20150419,508,0.775049478,7.639946129,1.005577428,7.496883408,-1.002017903
20150420,782,0.976620552,7.632667617,1.030559615,7.540357237,-1.238565564
20150421,976,0.937858808,7.552545986,1.043456595,7.441087439,-1.861364731
20150422,986,1.975651192,7.623458878,1.032823417,7.473488999,-0.514185499
20150423,1189,1.767938756,7.278537491,1.059627655,7.241301889,-0.840946985
20150424,1082,0.929541198,7.475299989,1.061868453,7.404091384,-1.600401192
20150425,654,0.720308431,7.521704196,1.039373089,7.427943756,-1.608940749
20150426,641,0.752748486,7.567451187,1.01950078,7.494908286,-1.139617562
20150427,807,0.959849138,7.623450804,1.02354399,7.493838631,-0.676247757
20150428,783,1.056002487,7.459103054,1.017773521,7.334337254,-1.089111898
20150429,789,0.856692896,8.487987161,1.159713421,8.351739988,-1.516126006
20150430,895,0.590334165,7.719299522,1.036654252,7.533419388,-1.824907528
20150501,474,0.768739209,7.548465219,1.064873418,7.484892785,-1.314550498
20150502,439,0.8585777,7.948422758,1.016704632,7.83908335,-0.906166901
20150503,436,1.109411302,7.681180999,1.014105505,7.596091573,-0.998173479
20150504,595,1.120174526,7.755948592,1.033333333,7.666312737,-0.661971757
20150505,702,1.042714298,7.682931337,1.026002804,7.538113501,-0.989616914
20150506,700,0.975092549,7.695195455,1.021809524,7.523639899,-1.144605422
20150507,676,1.110404159,7.698963748,1.038750672,7.44011456,-1.128470082
